Publisher;Number;Jan;Feb;Mrz;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez;Bemerkung;;;;;;Publication Date
Boom! Studios;The Expanse: Origins (2018 series) ;;The Expanse: Origins (2018 series) ;;;;;;;;;;;;;;;;;February 2018
Boom! Studios;The March of the Crabs (2015 series) #3;; #3;;;;;;;;;;;;;;;;;
Boom! Studios;The Power of the Dark Crystal (2017 series) #10; #10; #11; #12;;;;;;;;;;;;;;;;January 2018
Boom! Studios;The Sons of El Topo (2018 series) #1 - Cain;;;;;;;;;;;; #1 - Cain;;;;;;;December 2018
Boom! Studios;The Storyteller: Fairies (2017 series) #2; #2; #3; #4;;;;;;;;;;;;;;;;January 2018
Boom! Studios;The Thrilling Adventure Hour (2018 series) #2;;;;;;; #1; #2; #3; #4;;;;;;;;;August 2018
Boom! Studios;The Woods (2014 series) #9 - The Way Home;;; #9 - The Way Home;;;;;;;;;;;;;;;;March 2018
Boom! Studios;Victor Lavalle's Destroyer (2018 series) ;;Victor Lavalle's Destroyer (2018 series) ;;;;;;;;;;;;;;;;;February 2018
Boom! Studios;Welcome to Wanderland (2018 series) #1;;;;;;;;; #1; #2;; #3;;;;;;;September 2018
Boom! Studios;Wizard Beach (2018 series) #1;;;;;;;;;;;; #1;;;;;;;
Boom! Studios;WWE (2017 series) #13; #13; #14; #15; #16; #17; #18; #19; #20;; #21; #22; #23;;;;;;;January 2018
Boom! Studios;WWE (2017 series) #2 - Lunatic Fringe; #2 - Lunatic Fringe;;;;;;;;;;;;;;;;;;January 2018
Boom! Studios;WWE (2017 series) #3 - Roman Empire;;;;;;;; #3 - Roman Empire;;;;;;;;;;;July 2018
Boom! Studios;WWE (2017 series) #4 - Women's Evolution;;;;;;;;;;;; #4 - Women's Evolution;;;;;;;December 2018
Boom! Studios;WWE Attitude Era 2018 Special (2018 series) #1;;;;;;;; #1;;;;;;;;;;;August 2018
Boom! Studios;WWE Royal Rumble 2018 Special (2018 series) #1; #1;;;;;;;;;;;;;;;;;;January 2018
Boom! Studios;WWE: NXT Takeover - Into the fire (2018 series) #1;;;;;;;;;#1;;;;;;;;;;
Boom! Studios;WWE: NXT Takeover - Proving Ground (2018 series) #1;;;;;;;;; #1;;;;;;;;;;September 2018
Boom! Studios;WWE: NXT Takeover - Redemption (2018 series) #1;;;;;;;;;#1;;;;;;;;;;
Boom! Studios;WWE: NXT Takeover - The Blueprint (2018 series) #1;;;;;;;;; #1;;;;;;;;;;September 2018
Boom! Studios;WWE: Then. Now. Forever. (2018 series) #1;;; #1;;;;;;; #2;;;;;;;;;
Boom! Studios;WWE: Wrestlemania 2018 Special (2018 series) #1;;;; #1;;;;;;;;;;;;;;;2018
"Brennan Lee Mulligan; Molly Ostertag";Strong Female Protagonist (2014 series) #2;;;;;; #2;;;;;;;;;;;;;
Broadsword;Tarot: Witch of the Black Rose (2000 series) #108; #108;; #109;;; #110; #111;; #112;; #113;;;;;;;;January 2018
Bubble (Russian);Allies;;#8;;#9;;#10;;#11;;#12;;#13;;;;;;;
Bubble (Russian);Demonslayer Vol1;;;;#9;;#10;;#11;;#12;;#13;;;;;;;
Bubble (Russian);Demonslayer Vol2;;;;#9;;#10;;#11;;#12;;#13;;;;;;;
Bubble (Russian);Exlibrium;;;;;;#10;;#11;;#12;;#13;;;;;;;
Bubble (Russian);Friar;;;;#9;;#10;;#11;;#12;;;;;;;;;
Bubble (Russian);Igor Grom;;;;#9;;#10;;#11;;#12;;;;;;;;;
Bubble (Russian);Major Grom;#9;;#10;;#11;;#12;#13;;#14;;#15;;;;;;;
Bubble (Russian);Realmwalkers;;#8;;#9;;#10;;#11;;#12;;;;;;;;;
Bubble (Russian);Red Fury;;#9;;;;;;;;;;;;;;;;;
Caliber Press;Above and Beyond (2018 series) ;;;Above and Beyond (2018 series) ;;;;;;;;;;;;;;;;2018
Caliber Press;Battron: The Trojan Woman (2018 series) ;;Battron: The Trojan Woman (2018 series) ;;;;;;;;;;;;;;;;;2018
Caliber Press;Bleen (2018 series) ;;#1;#2;#3;#4;;;;;;;;;;;;;;2018
Caliber Press;Caliber Presents (2016 series) #3 - Flash from Nowhere;;;;;;; #3 - Flash from Nowhere;;;;;;;;;;;;
Caliber Press;Caliber Presents (2016 series) #4 - The Observatory;;;;;;;;;;; #4 - The Observatory;;;;;;;;
Caliber Press;Chillers (2017 series) #2; #2;;;;;;;;;;;;;;;;;;
Caliber Press;Deadworld Archives (2018 series) #1;;;;;; #1;; #2;; #3;; #4;;;;;;;
Caliber Press;Dracula: The Suicide Club (2018 series) ;Dracula: The Suicide Club (2018 series) ;;;;;;;;;;;;;;;;;;2018
Caliber Press;Eat the shadow;#1;;;;;;;;;;;;;;;;;;
Caliber Press;El Cid: The Conqueror (2018 series) ;;;;;El Cid: The Conqueror (2018 series) ;;;;;;;;;;;;;;2018
Caliber Press;Fisk the S.U.B.S.T.I.T.U.T.E. (2018 series) #1;;;;;;;;;; #1;;;;;;;;;
Caliber Press;Gapo the Clown (2016 series) #2;;;;;;;;; #2;;;;;;;;;;
Caliber Press;Ghost Sonata: The Haunting of Mr. Arkenholtz (2018 series) ;;;;;;;;;Ghost Sonata: The Haunting of Mr. Arkenholtz (2018 series) ;;;;;;;;;;2018
Caliber Press;It Looks Back (2018 series) ;;#1;#2;#3;#4;;;;;;;;;;;;;;2018
Caliber Press;Knights of the Skull (2018 series) ;;;;Knights of the Skull (2018 series) ;;;;;;;;;;;;;;;2018
Caliber Press;Legends of Aukera (2018 series) #1 - The Ascendants;;;;;;; #1 - The Ascendants;;;;;;;;;;;;
Caliber Press;Morning Star;;#2;;;;;;;;;;;;;;;;;
Caliber Press;Merlin: The Legend Begins (2018 series) #1; #1;;;;;;;;;;;;;;;;;;2018
Caliber Press;Nightlinger: Creature of the Night (2018 series) ;;;;Nightlinger: Creature of the Night (2018 series) ;;;;;;;;;;;;;;;2018
Caliber Press;Nowhere (2018 series) #1;;;;;;;; #1;;;;;;;;;;;
Caliber Press;Orlak: A Perfect 10 (2018 series) #1;;;;;;;;;;; #1;;;;;;;;
Caliber Press;Oz (2018 series) #1 - A Gathering of Heroes; #1 - A Gathering of Heroes;;;;;;;;;;;;;;;;;;
Caliber Press;Oz (2018 series) #2 - Clash of Titans;;;;; #2 - Clash of Titans;;;;;;;;;;;;;;
Caliber Press;Raven Chronicles (2017 series) #3 - Flesh and Ghosts;;;;;;; #3 - Flesh and Ghosts;;;;;;;;;;;;
Caliber Press;Saint Germaine: Shadows Fall (2018 series) ;;;;;Saint Germaine: Shadows Fall (2018 series) ;;;;;;;;;;;;;;2018
Caliber Press;Saint Germaine: The Kilroy Mandate (2018 series) ;;;;;;;Saint Germaine: The Kilroy Mandate (2018 series) ;;;;;;;;;;;;2018
Caliber Press;Sherlock Holmes: Adventure of the Opera Ghost (2018 series) ;;;;;Sherlock Holmes: Adventure of the Opera Ghost (2018 series) ;;;;;;;;;;;;;;2018
Caliber Press;Sherlock Holmes: Dr. Jekyll and Mr. Holmes (2018 series) ;;;;Sherlock Holmes: Dr. Jekyll and Mr. Holmes (2018 series) ;;;;;;;;;;;;;;;2018
Caliber Press;Sherlock Holmes: Murder at Cabaret (2016 series) ;Sherlock Holmes: Murder at Cabaret (2016 series) ;;;;;;;;;;;;;;;;;;2016
Caliber Press;Tales from the Outer Rim (2018 series) ;Tales from the Outer Rim (2018 series) ;;;;;;;;;;;;;;;;;;2018
Caliber Press;Tatters (2018 series) ;;Tatters (2018 series) ;;;;;;;;;;;;;;;;;2018
Caliber Press;The Assemblers (2018 series) #1;; #1;;;;;;;;;;;;;;;;;2018
Caliber Press;The Last on the List (2018 series) ;;;;;;The Last on the List (2018 series) ;;;;;;;;;;;;;2018
Caliber Press;The Red Diaries: The Kennedy Conspiracy (2018 series) ;;;;The Red Diaries: The Kennedy Conspiracy (2018 series) ;;;;;;;;;;;;;;;2018
Caliber Press;The Shepherd (2015 series) #2 - The Path of Souls;;;;;;;;; #2 - The Path of Souls;;;;;;;;;;
Caliber Press;The Snow Queen: Adventure in the Frozen Kingdom (2017 series) ;The Snow Queen: Adventure in the Frozen Kingdom (2017 series) ;;;;;;;;;;;;;;;;;;2017
Caliber Press;Time Grunts (2018 series) #1 - The Monsters Within;;;;;;;; #1 - The Monsters Within;;;;;;;;;;;
Caliber Press;Vietnam Journal - Series Two (2018 series) #2 - Journey into Hell;;;;;;;;;;; #2 - Journey into Hell;;;;;;;;
Caliber Press;Vietnam Journal (2018 series) #1 - Indian Country;; #1 - Indian Country;;;;;;;;;;;;;;;;;
Caliber Press;Vietnam Journal (2018 series) #2 - The Iron Triangle;;;;;; #2 - The Iron Triangle;;;;;;;;;;;;;
Caliber Press;Vietnam Journal (2018 series) #3 - From the Delta to Dak To;;;;;;;; #3 - From the Delta to Dak To;;;;;;;;;;;
Caliber Press;Vietnam Journal (2018 series) #4 - M. I. A.;;;;;;;;;; #4 - M. I. A.;;;;;;;;;
Caliber Press;Weirdsdale (2018 series) #1;;;; #1;;;;;;;;;;;;;;;2018
Candlewick Press;Lost Soul, Be at Peace (2018 series) ;;;;;;;;;;Lost Soul, Be at Peace (2018 series) ;;;;;;;;;2018
Candlewick Press;Smash (2013 series) #2 - Fearless;;;;; #2 - Fearless;;;;;;;;;;;;;;
Candlewick Press;Smash (2018 series) #1 - Trial by Fire;;;;; #1 - Trial by Fire;;;;;;;;;;;;;;
Candlewick Press;Smash (2018 series) #2 - Fearless;;;;; #2 - Fearless;;;;;;;;;;;;;;
Candlewick Press;Snow White (2018 series) ;;;;;;;Snow White (2018 series) ;;;;;;;;;;;;2018
Canton Street Press;Flashback Replica (2015 series) #10;; #10;;;;;;;;;;;;;;;;;
Canton Street Press;Flashback Replica (2015 series) #11;; #11;;;;;;;;;;;;;;;;;[February 2018]
Cartoon Books;RASL (2018 series) #1 - Drift;;;;;;;; #1 - Drift;;;;;;;;;;;
Cartoon Books;RASL (2018 series) #2 - Romance at Speed of Light;;;;;;;;;; #2 - Romance at Speed of Light;;;;;;;;;
Catalyst Press;Shaka Rising (2017 series) ;Shaka Rising (2017 series) ;;;;;;;;;;;;;;;;;;2017
Chapterhouse;Invasion FCBD (Captain Cannuck #16);;;;;;;;FCBD;;;;;;;;;;;
Charlton Neo;The Charlton Arrow (2017 series) #3;; #3;;;;;;;;;;;;;;;;;[February] 2018
Chido Comics LLC;Masked Republic's Luchaverse: Rey Mysterio (2018 series) #1;;;;;;; #1;;;;;;;;;;;;July 2018
Chrome Fetus Comics;Cochlea & Eustachia;;#1;;#2;;;;;;;;;Crazy;;;;;;
Chronicle Books;Be Everything at Once: Tales of a Cartoonist Lady Person (2018 series) ;;;;;;;;Be Everything at Once: Tales of a Cartoonist Lady Person (2018 series) ;;;;;;;;;;;2018
Chronicle Books;Many Deaths of Scott Koblish (2018 series) ;;;;;;Many Deaths of Scott Koblish (2018 series) ;;;;;;;;;;;;;2018
Cinebook;A Lucky Luke Adventure (2006 series) #67 - Belle Starr;;;;; #67 - Belle Starr;;;;;;;;;;;;;;2018
Cinebook;A Lucky Luke Adventure (2006 series) #68 - Bridge Over the Mississippi;;;;;; #68 - Bridge Over the Mississippi;;;;;;;;;;;;;
Cinebook;A Lucky Luke Adventure (2006 series) #69 - Kid Lucky;;;;;;;;; #69 - Kid Lucky;;;;;;;;;;June 2018
Cinebook;A Lucky Luke Adventure (2006 series) #70 - The O.K. Corral;;;;;;;;;; #70 - The O.K. Corral;;;;;;;;;2018
Cinebook;Alone (2014 series) #8 - The Arena;;;;; #8 - The Arena;;;;;;;;;;;;;;2018
Cinebook;Alone (2014 series) #9 - Before the Midnight Child;;;;;;;;;; #9 - Before the Midnight Child;;;;;;;;;
Cinebook;Bear's Tooth (2018 series) #1 - Max;;;;; #1 - Max;;;;;;;;;;;;;;
Cinebook;Bear's Tooth (2018 series) #2 - Hanna;;;;;;;;;;; #2 - Hanna;;;;;;;;
Cinebook;Distant Worlds (2018 series) #1;;;;;;;;;;; #1;;;;;;;;2018
Cinebook;Gomer Goof (2017 series) #2 - It's a Van Goof; #2 - It's a Van Goof;;;;;;;;;;;;;;;;;;
Cinebook;IAN (2018 series) #1 - An Electric Monkey;;;;;;;;; #1 - An Electric Monkey;;;;;;;;;;
Cinebook;Insiders (2009 series) #7 - The Red Prince;;;;; #7 - The Red Prince;;;;;;;;;;;;;;
Cinebook;Orbital (2009 series) #7 - Implosion; #7 - Implosion;;;;;;;;;;;;;;;;;;
Cinebook;Spirou & Fantasio (2009 series) #14 - The Clockmaker and the Comet;;;;; #14 - The Clockmaker and the Comet;;;;;;;;;;;;;;May 2018
Cinebook;Spirou & Fantasio (2009 series) #15 - Shadow of the Z;;;;;;;;; #15 - Shadow of the Z;;;;;;;;;;September 2018
Cinebook;The Bluecoats (2008 series) #11 - Cossack Circus; #11 - Cossack Circus;;;;;;;;;;;;;;;;;;January 2018
Cinebook;The Last Templar (2016 series) #5 - The Devil's Handiwork;;;;; #5 - The Devil's Handiwork;;;;;;;;;;;;;;
Cinebook;The Last Templar (2016 series) #6 - The One-Armed Knight;;;;;; #6 - The One-Armed Knight;;;;;;;;;;;;;2018
Cinebook;The Survivors (2014 series) #5;; #5;;;;;;;;;;;;;;;;;2017
Cinebook;Thorgal (2007 series) #19 - The Barbarian;;;;; #19 - The Barbarian;;;;;;;;;;;;;;
Cinebook;Trent (2017 series) #2 - The Kid;;;;; #2 - The Kid;;;;;;;;;;;;;;
Cinebook;Trent (2017 series) #3 - When the Lamps Are Lit;;;;;;;;; #3 - When the Lamps Are Lit;;;;;;;;;;2018
Cinebook;Valerian and Laureline (2010 series) #20 - The Order of the Stones; #20 - The Order of the Stones;;;;;;;;;;;;;;;;;;January 2018
Cinebook;Valerian and Laureline (2010 series) #21 - The Time Opener; #21 - The Time Opener;;;;;;;;;;;;;;;;;;
Cinebook;Valerian and Laureline (2010 series) #22 - Memories from the Futures;;;;; #22 - Memories from the Futures;;;;;;;;;;;;;;
Cinebook;Valerian and Laureline (2018 series) #1;;;;;;;; #1;;;;;;;;;;;
Cinebook;Valerian the Complete Collection (2017 series) #4;;;;;;;; #4; #6;; #7;;;;;;;;2018
Cinebook;Valerian the Complete Collection (2017 series) #5;;;;;;;; #5;;;;;;;;;;;2018
Cinebook;Wayne Shelton (2013 series) #5 - The Vengeance;; #5 - The Vengeance;;;;;;;;;;;;;;;;;
Cinebook;XIII (2010 series) #23 - Jason McLane's Inheritance;;;;;;;;; #23 - Jason McLane's Inheritance;;;;;;;;;;
Cinebook;Yakari (2005 series) #16 - The Lake Monster;;;;;;;;;;; #16 - The Lake Monster;;;;;;;;November 2018
Cinebook;Yoko Tsuno (2007 series) #13 - The Light of Ixo;;;;;;; #13 - The Light of Ixo;;;;;;;;;;;;[July] 2018
Classic Comic Store;Classics Illustrated (2008 series) #50 - The Downfall;;;;;; #50 - The Downfall;;;;;;;;;;;;;
Classic Comic Store;Classics Illustrated (2008 series) #51 - The Iliad;;;;;; #51 - The Iliad;;;;;;;;;;;;;
Classic Comic Store;Classics Illustrated (2008 series) #52 - The Hound of the Baskervilles;;;;;; #52 - The Hound of the Baskervilles;;;;;;;;;;;;;
Classic Comic Store;Classics Illustrated (2008 series) #53 - The Odyssey;;;;;; #53 - The Odyssey;;;;;;;;;;;;;
Classic Comic Store;Classics Illustrated (2018 series) #1 - The War of the Worlds;;;;; #1 - The War of the Worlds;;;;;;;;;;;;;;
Classic Comic Store;Classics Illustrated (2018 series) #2 - Oliver Twist;;;;; #2 - Oliver Twist;;;;;;;;;;;;;;
Classic Comic Store;Classics Illustrated (2018 series) #3 - Robin Hood;;;;; #3 - Robin Hood;;;;;;;;;;;;;;
Classic Comic Store;Classics Illustrated (2018 series) #4 - The Man in the Iron Mask;;;;; #4 - The Man in the Iron Mask;;;;;;;;;;;;;;
Classic Comic Store;Classics Illustrated Special Issue (2014 series) #3 - The Ten Commandments;;;;;; #3 - The Ten Commandments;;;;;;;;;;;;;
Classic Comic Store;Classics Illustrated Special Issue (2014 series) #4 - The Story of Jesus;;;;;; #4 - The Story of Jesus;;;;;;;;;;;;;
Classic Comics Press;The Cisco Kid (2011 series) #4;;;; #4;;;;;;;;;;;;;;;
Coffin Comics;La Muerta Lives (2018 series) ;;;;;;;;;;La Muerta Lives (2018 series) ;;;;;;;;;2018
Coffin Comics;La Muerta: Retribution (2018 series) #1;;;;;;;; #1;;; #2;;;;;;;;
Coffin Comics;Lady Death Gallery (2018 series) #1;;;;;;;;;;;; #1;;;;;;;
Coffin Comics;Lady Death Pin Ups (2018 series) #1;;;;;;;;;; #1;;;;;;;;;2018
Coffin Comics;Lady Death: Unholy Ruin (2018 series) #1;;;; #1;; #2;;;;;;;;;;;;;
Comic Book Legal Defense Fund;The CBLDF Presents Defend Comics: FCBD Edition (2014 series) #[2018];;;;; #[2018];;;;;;;;;;;;;;May 2018
ComicMix;Deadbeats Omnibus (2018 series) #1;;;;;;;;;; #1;;;;;;;;;
ComicMix;GrimJack Omnibus (2015 series) #4;;;;;;;;;;; #4;;;;;;;;November 2018
ComicMix;Mine! A Celebration of Liberty and Freedom for All Benefiting Planned Parenthood (2018 series) ;Mine! A Celebration of Liberty and Freedom for All Benefiting Planned Parenthood (2018 series) ;;;;;;;;;;;;;;;;;;2018
ComicMix;Phantom of Fear City (2018 series) ;;;;;;;;;;Phantom of Fear City (2018 series) ;;;;;;;;;2018
ComicMix;Soulsearchers and Company Omnibus (2018 series) #1;;;;;;;;;; #1;;;;;;;;;
Comixology Originals;Ask For Mercy;#1;#2;#3;#4;#5;;;;;;;;;;;;;;
Comixology Originals;ComiXology Originals 2018 Preview Book;oneshot;;;;;;;;;;;;;;;;;;
Comixology Originals;Delver;;;;;;;;;;;;;;;;;;;
Comixology Originals;Goliath Girls;#1;#2;;;;;;;;;;;;;;;;;
Comixology Originals;Grave Danger;#1;#2;#3;#4;#5;;;;;;;;;;;;;;
Comixology Originals;Hit Reblog: Comics That Caught Fire;oneshot;;;;;;;;;;;;;;;;;;
Comixology Originals;Savage Game;Savage Game;;;;;;;;;;;;;;;;;;
Comixology Originals;Superfreaks;#1;#2;#3;#4;#5;;TPB;;;;;;;;;;;;
Comixology Originals;Teenage Wasteland;#1;;;;;;;;;;;;;;;;;;
Comixology Originals;The Dark;;;;;;;;;;;;;;;;;;;
Comixology Originals;The Stone King;;;;;;;;;;;#1;#2;;;;;;;
ComixTribe;Sink (2017 series) #4; #4;; #5;;;;;;;;; #6;;;;;;;
ComixTribe;Sink (2018 series) #1 - Welcome to Glasgow;;;;;;; #1 - Welcome to Glasgow;;;;;;;;;;;;2018
ComixTribe;The Red Ten (2013 series) #10; #10;;;;;;;;;;;;;;;;;;
Confidential Comics;A Knight In Kansas City;;;#1;;#2;;#3;;#4;;;;;;;;;;
Cosmic Times;Sugar Boogarz (2017 series) #2; #2;;;;;;; #3;;;;;;;;;;;
Cosmic Times;Yurushi (2018 series) ;;Yurushi (2018 series) ;;;;;;;;;;;;;;;;;2018
D.C. Conspiracy;Magic Bullet (2010 series) #16;; #16;;;;;;; #17;;;;;;;;;;February 2018
D.C. Thomson;Beano Christmas Special (2007 ? series) #2018;;;;;;;; #2018;;;;;;;;;;;2018
D.C. Thomson;Commando (1961 series) #5087; #5087; #5095; #5103; #5111; #5119; #5127; #5139; #5147; #5155; #5163; #5171; #5183;;;;;;;2018
D.C. Thomson;Commando (1961 series) #5088; #5088; #5096; #5104; #5112; #5120; #5128; #5140; #5148; #5156; #5164; #5172; #5184;;;;;;;2018
D.C. Thomson;Commando (1961 series) #5089; #5089; #5097; #5105; #5113; #5121; #5129; #5141; #5150; #5157; #5165; #5173; #5185;;;;;;;2018
D.C. Thomson;Commando (1961 series) #5090; #5090; #5098; #5106; #5114; #5122; #5130; #5142; #5151; #5158; #5166; #5174; #5186;;;;;;;2018
D.C. Thomson;Commando (1961 series) #5091; #5091; #5099; #5107; #5115; #5123; #5131; #5143; #5152; #5159; #5167; #5175; #5187;;;;;;;January 2018
D.C. Thomson;Commando (1961 series) #5092; #5092; #5100; #5108; #5116; #5124; #5132; #5144; #5153; #5160; #5168; #5176; #5188;;;;;;;January 2018
D.C. Thomson;Commando (1961 series) #5093; #5093; #5101; #5109; #5117; #5125; #5133; #5145; #5154; #5161; #5169; #5177; #5189;;;;;;;January 2018
D.C. Thomson;Commando (1961 series) #5094; #5094; #5102; #5110; #5118; #5126; #5134; #5149;; #5162; #5170; #5178; #5190;;;;;;;January 2018
D.C. Thomson;Commando (1961 series) #5110;;;;;; #5135;;;;; #5179;;;;;;;;March 2018
D.C. Thomson;Commando (1961 series) #5111;;;;;; #5136;;;;; #5180;;;;;;;;April 2018
D.C. Thomson;Commando (1961 series) #5112;;;;;; #5137;;;;; #5181;;;;;;;;April 2018
D.C. Thomson;Commando (1961 series) #5113;;;;;; #5138;;;;; #5182;;;;;;;;April 2018
D.C. Thomson;Commando Presents: Ramsey's Raiders (2018 series) #1; #1;;;;;;;;;;;;;;;;;;2018
D.C. Thomson;Epic! (2005 ? series) #141; #141; #142;;;;;;;;;;;;;;;;;2018
D.C. Thomson;Oor Wullie (1941 ? series) #2019;;;;;;; #2019;;;;;;;;;;;;2018
D.C. Thomson;The Beano (1950 series) #3935;;;;; #3935;;;;;;;;;;;;;;May 2018
D.C. Thomson;The Dandy Summer Special (1964 series) #2018;;;;;; #2018;;;;;;;;;;;;;2018
Darby Pop Publishing;Bruce Lee: The Walk of the Dragon (2018 series) #1;;; #1;;;;;;;;;;;;;;;;March 2018
Darby Pop Publishing;Dead Squad: To Hell and Back (2018 series) #[nn];;;;;;;;; #[nn];;;;;;;;;;2018
Dark Horse;3 Story: The Secret History of the Giant Man (2018 series) ;;;;;;;;3 Story: The Secret History of the Giant Man (2018 series) ;;;;;;;;;;;August 2018
Dark Horse;A Study in Emerald (2018 series) ;;;;;;A Study in Emerald (2018 series) ;;;;;;;;;;;;;June 2018
Dark Horse;Abe Sapien: Dark and Terrible (2017 series) #2;;; #2;;;;;;;;;;;;;;;;March 2018
Dark Horse;Abe Sapien: The Drowning and Other Stories (2018 series) ;;;;;;;Abe Sapien: The Drowning and Other Stories (2018 series) ;;;;;;;;;;;;July 2018
Dark Horse;Aliens Predator Prometheus AVP: Fire and Stone (2018 series) ;;;;Aliens Predator Prometheus AVP: Fire and Stone (2018 series) ;;;;;;;;;;;;;;;2018
Dark Horse;Aliens, Predator, Prometheus, AVP: Life and Death (2018 series) ;;;;;;;;;Aliens, Predator, Prometheus, AVP: Life and Death (2018 series) ;;;;;;;;;;September 2018
Dark Horse;Aliens: Dead Orbit (2018 series) ;;;Aliens: Dead Orbit (2018 series) ;;;;;;;;;;;;;;;;March 2018
Dark Horse;Aliens: Dust to Dust (2018 series) #1-3 of 4;;;; #1;;; #2;;; #3;;;;;;;;;
Dark Horse;Aliens: The Essential Comics (2018 series) #1;;;;;;;;;; #1;;;;;;;;;
Dark Horse;American Gods: My Ainsel (2018 series) #1;;; #1; #2; #3; #4; #5;; #6; #7; #8; #9;;;;;;;March 2018
Dark Horse;Angel Season 11 (2017 series) #2 - Time and Tide; #2 - Time and Tide;;;;;;;;;;;;;;;;;;January 2018
Dark Horse;Angel Season 11 (2017 series) #3 - Dark Reflections;;;; #3 - Dark Reflections;;;;;;;;;;;;;;;March 2018
Dark Horse;Anthony Bourdain's Hungry Ghosts (2018 series) ;;;;;;;;;Anthony Bourdain's Hungry Ghosts (2018 series) ;;;;;;;;;;September 2018
Dark Horse;Avatar - The Last Airbender - Imbalance Part 01;;;#1;;;;;;;;;;;;;;;;
Dark Horse;B.P.R.D. Hell on Earth (2017 series) #2;;;; #2;;;;;; #3;;;;;;;;;April 2018
Dark Horse;B.P.R.D.: The Devil You Know (2017 series) #6 (153);;;;; #6 (153); #7 (154); #8 (155); #9 (156); #10 (157);;; #11 (158);;;;;;;May 2018
Dark Horse;B.P.R.D.: The Devil You Know (2018 series) #1 - Messiah;;;; #1 - Messiah;;;;;;;;;;;;;;;April 2018
Dark Horse;Badlands (2018 series) ;;;Badlands (2018 series) ;;;;;;;;;;;;;;;;2018
Dark Horse;Beasts of Burden: Wise Dogs and Eldritch Men (2018 series) #1;;;;;;;; #1; #2; #3;; #4;;;;;;;August 2018
Dark Horse;Bedtime Games (2018 series) #1;;;;;; #1; #2; #3;; #4;;;;;;;;;
Dark Horse;Berger Books Sampler Ashcan ;;;;;;;#2;;;;;;;;;;;;
Dark Horse;Black Hammer: Age of Doom (2018 series) #1;;;; #1; #2; #3;; #4; #5; #6; #7;;;;;;;;April 2018
Dark Horse;Black Hammer: Cthu-Louise (2018 series) ;;;;;;;;;;;;Black Hammer: Cthu-Louise (2018 series) ;;;;;;;December 2018
Dark Horse;Blackwood (2018 series) #1;;;;; #1; #2; #3; #4;;;;;;;;;;;2018
Dark Horse;Blade of the Immortal Omnibus (2016 series) #5;;; #5;;;; #6;;;; #7;;;;;;;;
Dark Horse;Blood Blockade Battlefront (2011 series) #9;;; #9;;;; #10;;;;;;;;;;;;
Dark Horse;Briggs Land (2017 series) #2 - Lone Wolves; #2 - Lone Wolves;;;;;;;;;;;;;;;;;;February 2018
Dark Horse;Brooklyn Blood (2018 series) ;;;;;;;Brooklyn Blood (2018 series) ;;;;;;;;;;;;July 2018
Dark Horse;Buffy the Vampire Slayer Omnibus: Season 8 (2017 series) #2;; #2;;;;;;;;;;;;;;;;;March 2018
Dark Horse;Buffy the Vampire Slayer Omnibus: Tales (2018 series) ;;;;;;;;;;Buffy the Vampire Slayer Omnibus: Tales (2018 series) ;;;;;;;;;2018
Dark Horse;Buffy the Vampire Slayer Season 10 Library Edition (2018 series) #1;;;;;;; #1;; #2;; #3;;;;;;;;July 2018
Dark Horse;Buffy the Vampire Slayer Season 11 (2017 series) #2 - One Girl in All the World;; #2 - One Girl in All the World;;;;;;;;;;;;;;;;;February 2018
Dark Horse;Buffy the Vampire Slayer Season 12 (2018 series) #1;;;;;; #1; #2; #3; #4;;;;;;;;;;June 2018
Dark Horse;Call of Duty: Zombies 2 (2018 series) #1;;;;;;;;; #1; #2;; #3;;;;;;;
Dark Horse;Cell Block Earth and Other Stories (2018 series) ;;;Cell Block Earth and Other Stories (2018 series) ;;;;;;;;;;;;;;;;March 2018
Dark Horse;Chimichanga: The Sorrow of the World's Worst Face! (2018 series) ;;Chimichanga: The Sorrow of the World's Worst Face! (2018 series) ;;;;;;;;;;;;;;;;;March 2018
Dark Horse;Conan Omnibus (2016 series) #4 - Mercenaries and Madness;;;;; #4 - Mercenaries and Madness;;;;;;;;;;;;;;May 2018
Dark Horse;Conan Omnibus (2016 series) #5 - Piracy and Passion;;;;;;; #5 - Piracy and Passion;;;;;;;;;;;;
Dark Horse;Conan Omnibus (2016 series) #6 - Savagery and Sorrow;;;;;;;;; #6 - Savagery and Sorrow;;;;;;;;;;September 2018
Dark Horse;Conan Omnibus (2016 series) #7 - Witchcraft and Warfare;;;;;;;;;;; #7 - Witchcraft and Warfare;;;;;;;;November 2018
Dark Horse;Conspiracy of Ravens (2018 series) ;;;;;;;;;;Conspiracy of Ravens (2018 series) ;;;;;;;;;2018
Dark Horse;Creepy Archives (2008 series) #26;;;;;;; #26;;;; #27;;;;;;;;July 2018
Dark Horse;Criminy (2018 series) ;;;;;;;;;Criminy (2018 series) ;;;;;;;;;;September 2018
Dark Horse;Crimson Lotus (2018 series) #1;;;;;;;;;;; #1; #2;;;;;;;November 2018
Dark Horse;Critical Role - Vox Machina Origins;#4;#5;#6;;;;;;;;;;;;;;;;
Dark Horse;Crystal Fighters (2018 series) ;;;;;;;;;Crystal Fighters (2018 series) ;;;;;;;;;;August 2018
Dark Horse;Danganronpa 2: Ultimate Luck and Hope and Despair (2018 series) #1;;;;;;;;;;;; #1;;;;;;;
