Publisher;Number;Jan;Feb;Mrz;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez;Bemerkung;;;;;;Publication Date
Action Lab Comics;Miraculous: Tales of Ladybug and Cat Noir: Season Two (2018 series) #1 - The Chosen One;;;;;;; #1 - The Chosen One;;; #2 - Santa Claws;;;;;;;;;
Action Lab Comics;Miraculous: Tales of Ladybug and Cat Noir: Season Two (2018 series) #2 - Santa Claws;;;;;;;;;; #3 - Bye Bye, Little Butterfly!;;;;;;;;;December 2018
Action Lab Comics;Misbegotten Runaway Nun (2018 series) #1; #1;;;;;;;;;;;;;;;;;;
Action Lab Comics;Northstars (2018 series) #1;;;;;;;;;; #1;v2- Yeti wedding;;;;;;;;
Action Lab Comics;Nutmeg (2015 series) #4 - Late Winter Coven Cleaner;; #4 - Late Winter Coven Cleaner;;;;;;;;;;;;;;;;;
Action Lab Comics;Nutmeg (2018 series) #1;;;;;;;;; #1;;;;;;;;;;
Action Lab Comics;Princeless Raven the Pirate Princess (2016 series) #4 - Two Ships In the Night;; #4 - Two Ships In the Night;;;; #5 - Get Lost Together;;;;;;;;;;;;;
Action Lab Comics;Princeless Raven the Pirate Princess Year Two Love and Revenge (2017 series) #3; #3; #4; #6;; #7;;;;;;;;;;;;;;
Action Lab Comics;Princeless Raven the Pirate Princess Year Two Love and Revenge (2017 series) #4;; #5;;; #8;;;;;;;;;;;;;;
Action Lab Comics;Princeless: Find Yourself (2018 series) #1;;;;;;;;;;; #1; #2;;;;;;;
Action Lab Comics;Princeless: Raven the Pirate Princes: Year Two HCF (2018 series) ;;;;;;;;;;Princeless: Raven the Pirate Princes: Year Two HCF (2018 series) ;;;;;;;;;September 2018
Action Lab Comics;Puppet Master: Curtain Call (2017 series) #3; #3;;;;;;;;;;;;;;;;;;
Action Lab Comics;Puppet Master: Curtain Call (2018 series) ;Puppet Master: Curtain Call (2018 series) ;;;;;;;;;;;;;;;;;;2018
Action Lab Comics;Ruin of Thieves: Brigands (2018 series) #1;;;;; #1; #2; #3; #4;;;;;;;;;;;
Action Lab Comics;Sami the Samurai Squirrel Welcome to WoodBriar (2018 series) ;;Sami the Samurai Squirrel Welcome to WoodBriar (2018 series) ;;;;;;;;;;;;;;;;;2018
Action Lab Comics;Shinobi Ninja Princess (2017 ? series) #2 - The Lightning Oni; #2 - The Lightning Oni;;;;;;;;;;;;;;;;;;
Action Lab Comics;Shinobi Ninja Princess The Lightning Oni (2017 series) #4; #4;;;;;;;;;;;;;;;;;;
Action Lab Comics;Subspecies (2018 series) #1;;; #1; #2; #3;;;;;;;;;;;;;;
Action Lab Comics;The Consultant (2017 series) #2;; #2; #4;;;;;;;;;;;;;;;;
Action Lab Comics;The Consultant (2017 series) #3;; #3;;;;;;;;;;;;;;;;;
Action Lab Comics;The Ghost, the Owl (2018 series) ;;;;;The Ghost, the Owl (2018 series) ;;;;;;;;;;;;;;2018
Action Lab Comics;Toyetica (2017 series) #2;; #6; #7;; #2;;;;;;;;;;;;;;
Action Lab Comics;Toyetica (2017 series) #4;; #4;;; #8;;;;;;;;;;;;;;Nov 17
Action Lab Comics;Twelve Devils Dancing (2018 series) #1;;;;;;; #1; #2;;;;;;;;;;;
Action Lab Comics;Vampblade (2016 series) #6 - World War Detroit;;;;; #6 - World War Detroit;;; #7 - Down the Vamp Hole;;;;;;;;;;;
Action Lab Comics;Vampblade Season 3 (2018 series) #1;;;; #1; #2; #3; #4; #5; #6; #7; #8; #9;;;;;;;
Action Lab Comics;Vampblade Season 3 (2018 series) #2;;;;;;;;;;;;;;;;;;;
Action Lab Comics;Vampblade Season Two (2017 series) #11; #11; #12;;;;;;;;;;;;;;;;;
Action Lab Comics;Vamplets: Beware the Bitmares (2018 series) #1;;;;;;;;; #1;;;;;;;;;;
Action Lab Comics;Vamplets: Undead Pet Society HCF (2018 series) #1;;;;;;;;;; #1;;;;;;;;;September 2018
Action Lab Comics;Zombie Tramp (2013 series) #13 - Brothel;;;; #13 - Brothel;;;;;;;;;;;;;;;
Action Lab Comics;Zombie Tramp (2013 series) #14 - Redeemer Born;;;;;;;; #14 - Redeemer Born;;;;;;;;;;;
Action Lab Comics;Zombie Tramp (2014 series) #43; #43; #44; #45; #46; #47; #48; #49; #51; #52; #53; #54; #55;;;;;;;
Action Lab Comics;Zombie Tramp (2014 series) #44;;;;;;; #50;;;;;;;;;;;;
Action Lab Comics;Zombie Tramp (2014 series) #50 Deluxe;;;;;;; #50 Deluxe;;;;;;;;;;;;
Action Lab Comics;Zombie Tramp: Origins (2018 series) #1;;;;;;;;; #1;;;;;;;;;;
Adaptive Books;Fairy Godbrothers (2018 series) #1; #1;;;;;;;;;;;;;;;;;;
AdHouse Books;Live Work (2018 series) #1;;;; #1;;;;;;;;;;;;;;;
AdHouse Books;Young Frances (2018 series) #1;;;;; #1;;;;;;;;;;;;;;May 2018
AfterShock;A Walk through Hell (2018 series) #1;;;;; #1; #2; #3; #4;; #5;; #6;;;;;;;May 2018
AfterShock;A Walk Through Hell: Halloween Edition (2018 series) #1;;;;;;;;;; #1;;;;;;;;;October 2018
AfterShock;Alters (2016 series) #9; #9; #10;;;;;;;;;;;;;;;;;
AfterShock;Animosity (2016 series) #12; #12;; #13;; #14;;; #15;; #16; #17;;;;;;;;January 2018
AfterShock;Animosity Evolution (2017 series) #3; #3; #4;; #5;; #6;; #7;; #8;; #9;;;;;;;January 2018
AfterShock;Babyteeth (2017 series) #10; #7; #8; #9; #10;; #11;; #12;; #13;;;;;;;;;April 2018
AfterShock;Babyteeth (2018 series) #1 - Year One;;;;;;;;;;;; #1 - Year One;;;;;;;
AfterShock;Backways (2017 series) #2; #2; #3;; #4; #5;v1 TPB;;;;;;;;;;;;;January 2018
AfterShock;Betrothed (2018 series) #1;;; #1; #2; #3; #4; #5;;;;;;;;;;;;
AfterShock;Beyonders (2018 series) #1;;;;;;;; #1; #2; #3; #4;;;;;;;;August 2018
AfterShock;Black-Eyed Kids (2016 series) #3;;; #3;;;;;;;;;;;;;;;;
AfterShock;Brilliant Trash (2017 series) #3; #3; #4;; #5; #6;;;;;;;;;;;;;;January 2018
AfterShock;Brothers Dracul (2018 series) #1;;;; #1; #2; #3; #4; #5;;;;;;;;;;;April 2018
AfterShock;Clankillers (2018 series) #1;;;;;;; #1; #2; #3; #4; #5;;;;;;;;July 2018
AfterShock;Cold War (2018 series) #1;; #1; #2; #3; #4; #5;;;;;;;;;;;;;
AfterShock;Dark Ark (2017 series) #5; #5;;;; #6; #7; #8; #9; #10;; #11; #12;;;;;;;January 2018
AfterShock;Dark Ark (2018 series) #2;;;;;;;;;;; #2;;;;;;;;
AfterShock;Dead Kings (2018 series) #1;;;;;;;;;; #1;; #2;;;;;;;October 2018
AfterShock;Eleanor & the Egret (2018 series) #1;; #1;;;;;;;;;;;;;;;;;February 2018
AfterShock;Fu Jitsu (2017 series) #5;; #5;;;;;;;;;;;;;;;;;
AfterShock;Her Infernal Descent (2018 series) #1;;;; #1; #2; #3;; #4;;; #5;;;;;;;;
AfterShock;Hot Lunch Special (2018 series) #1;;;;;;;; #1; #2; #3; #4;;;;;;;;
AfterShock;Insexts Year One (2018 series) ;;;;;;Insexts Year One (2018 series) ;;;;;;;;;;;;;2018
AfterShock;Jimmy's Bastards (2017 series) #6; #6;; #7;; #8;; #9;;;;;;;;;;;;January 2018
AfterShock;Lost City Explorers (2018 series) #1;;;;;; #1; #2; #3; #4; #5;;;;;;;;;
AfterShock;Monstro Mechanica (2017 series) #2; #2; #3; #4; #5;;;;;;;;;;;;;;;January 2018
AfterShock;Moth & Whisper (2018 series) #1;;;;;;;;; #1; #2; #3; #4;;;;;;;September 2018
AfterShock;Normals (2018 series) #1;;;;;;;;;;; #1;;;;;;;;
AfterShock;Patience! Conviction! Revenge! (2018 series) #1;;;;;;;;; #1; #2; #3; #4;;;;;;;
AfterShock;Pestilence (2017 series) #6; #6;;;;;;;;;;;;;;;;;;January 2018
AfterShock;Pestilence: Story of Satan (2018 series) #1;;;;; #1; #2; #3;; #4;; #5;;;;;;;;
AfterShock;Relay (2018 series) #1;;;;;; #0 FCBD; #1; #2; #3;;;;;;;;;;July 2018
AfterShock;Rough Riders: Ride or Die (2018 series) #1;; #1; #2; #3; #4;;;;;;;;;;;;;;February 2018
AfterShock;Shipwreck (2016 series) #6;;;;;; #6;;;;;;;;;;;;;June 2018
AfterShock;The Last Space Race (2018 series) #1;;;;;;;;;; #1; #2;;;;;;;;October 2018
AfterShock;The Lollipop Kids (2018 series) #1;;;;;;;;;; #1; #2;;;;;;;;October 2018
AfterShock;Unholy Grail (2018 series) #1;;; #1;;;;;;;;;;;;;;;;March 2018
AfterShock;Volition (2018 series) #1;;;;;;;; #1; #2;; #3;;;;;;;;
AfterShock;Witch Hammer (2018 series) ;;;;;;;;;;;;Witch Hammer (2018 series) ;;;;;;;2018
AHOY Comics;Captain Ginger (2018 series) #1;;;;;;;;;; #1; #2; #3;;;;;;;[October] 2018
AHOY Comics;Edgar Allan Poe's Snifter of Terror (2018 series) #1;;;;;;;;;; #1; #2; #3;;;;;;;[October] 2018
AHOY Comics;High Heaven (2018 series) #1;;;;;;;;; #1; #2; #3; #4;;;;;;;[September] 2018
AHOY Comics;The Wrong Earth (2018 series) #1;;;;;;;;; #1; #2; #3; #4;;;;;;;[September] 2018
AIC Comics (American in China);Agent Sparx;#1;#2;#3;;;;;;;;;;;;;;;;
AK Press;Prisoner 155 (2018 series) ;;;;Prisoner 155 (2018 series) ;;;;;;;;;;;;;;;2018
AK Press;World War 3 Illustrated (2017 series) #[49] - Now Is the Time of Monsters: A Graphic Discourse on Predatory Capitalism;;;;;;;;;;;; #[49] - Now Is the Time of Monsters: A Graphic Discourse on Predatory Capitalism;;;;;;;[December] 2018
Albatross;Galaktikon (2017 series) #4; #4; #5; #6;;;;;;;;;;;;;;;;
Albatross;Grumble (2018 series) #1;;;;;;;;;;;; #1;;;;;;;
Albatross;Grumble (2018 series) #2;;;;;;;;;;;; #2;;;;;;;
Albatross;Hillbilly (2017 series);#9;#10;#11;#12;;;;;;;;;;;;;;;
Albatross;Hillbilly - Red-Eyed Witchery from Beyond (2018 series);;;;;;;;;; #1; #2; #3;;;;;;;2018
Albatross;MegaGhost (2018 series) #1;;;;;;;;;;;; #1;;;;;;;[2018]
Albatross;Spook House (2018 series) HCF;;;;;;;;;;HC;;;;;;;;;[2018]
Albatross;Spook House 2 (2018 series) #1;;;;;;;;; #1; #2; #3; #4;;;;;;;2018
Alfred A. Knopf Publishing;Rickety Stitch and the Gelatinous Goo (2017 series) #2 - The Middle-Route Run;;;;;;; #2 - The Middle-Route Run;;;;;;;;;;;;2018
Alfred A. Knopf Publishing;The Cardboard Kingdom (2018 series) ;;;;;;The Cardboard Kingdom (2018 series) ;;;;;;;;;;;;;2018
Alfred A. Knopf Publishing;The Cardboard Kingdom (2018 series) ;;;;;;The Cardboard Kingdom (2018 series) ;;;;;;;;;;;;;2018
Alterna;All-Star FUBAR (2018 series) ;;;;;All-Star FUBAR (2018 series) ;;;;;;;;;;;;;;2018
Alterna;Amazing Age (2017 series) #5; #5;;;; #0;;;;;;;;;;;;;;January 2018
Alterna;Blood Realm (2018 series) #1;;;;;;;;; #1; #2;;;;;;;;;August 2018
Alterna;Croak (2018 series) ;;;;;;;;;;;Croak (2018 series) ;;;;;;;;2018
Alterna;Cyko Ko! (2018 series) #1;;;;;;; #1;;; #2;; #3;;;;;;;July 2018
Alterna;Doppelgänger (2017 series) #2; #2;;; #3;; #4;;;;;;;;;;;;;
Alterna;Doppelganger (2018 series) ;;;;;;;;;;;Doppelganger (2018 series) ;;;;;;;;
Alterna;Eden (2018 series) #1;;;;;;; #1;;; #2;; #3;;;;;;;July 2018
Alterna;Exilium (2018 series) #1;;;;;;;;; #1;; #2;;;;;;;;August 2018
Alterna;Feast or Famine (2018 series) #1;;;;;;;;;;;; #1;;;;;;;November 2018
